PROD_EST,COBERTURA,ANIO,CVE_ENT,NOM_ENTIDAD,CODIGO_SCIAN,DESCRIPCION,VAL_USD,ESTATUS_CIFRA,ESTATUS
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,0,Subsectores no especificados,15525.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,111,Agricultura,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,112,Cría y explotación de animales,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,114,"Pesca, caza y captura",,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,211,Extracción de petróleo y gas,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,212,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas",,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,311,Industria alimentaria,36351.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,312,Industria de las bebidas y del tabaco,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,313,Fabricación de insumos textiles y acabado de textiles,1920.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,314,"Fabricación de productos textiles, excepto prendas de vestir",,Confidencial,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,315,Fabricación de prendas de vestir,197076.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",,Confidencial,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,321,Industria de la madera,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,322,Industria del papel,,Confidencial,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,323,Impresión e industrias conexas,,Confidencial,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,324,Fabricación de productos derivados del petróleo y del carbón,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,325,Industria química,3295.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,326,Industria del plástico y del hule,6136.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,327,Fabricación de productos a base de minerales no metálicos,8448.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,331,Industrias metálicas básicas,,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,332,Fabricación de productos metálicos,8144.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,333,Fabricación de maquinaria y equipo,42024.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",420432.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",,No disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,336,Fabricación de equipo de transporte,3648453.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,337,"Fabricación de muebles, colchones y persianas",,Confidencial,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,1,Aguascalientes,339,Otras industrias manufactureras,2037.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,2,Baja California,0,Subsectores no especificados,36588.0,Disponible,Cifras Definitivas.
Exportaciones Anuales por Entidad Federativa. Entidad y Subsector,Estatal,2007,2,Baja California,111,Agricultura,,No disponible,Cifras Definitivas.
